,Product_Link,Product_Name,Product_Summary,Product_Price,Product_Rating,Product_Image_url
20,https://www.costco.co.uk/Computers/Laptops/ASUS-VivoBook-Intel-Core-i7-16GB-RAM-512GB-SSD-156-Inch-OLED-Laptop-K513EA-L1897T/p/391004,"ASUS VivoBook, Intel Core i7, 16GB RAM, 512GB SSD, 15.6 Inch OLED Laptop, K513EA-L1897T","- Intel® Core™ i7-1165G7 Processor- Intel Iris X Graphics- 15.6"" Full HD OLED Display- Windows 10 Home- Audio by ICEpower,Built-in Speakers,Harman Kardon- 1.8 kg",£819.99,"<span _ngcontent-sc381="""" class=""star-ratings-text ng-star-inserted"">5.0 (1)</span>",https://www.costco.co.uk/Computers/Laptops/ASUS-VivoBook-Intel-Core-i7-16GB-RAM-512GB-SSD-156-Inch-OLED-Laptop-K513EA-L1897T/p/391004
21,https://www.costco.co.uk/Computers/Laptops-MacBooks/Acer-Swift-5-Intel-Core-i5-16GB-RAM-512GB-SSD-14-Inch-Laptop-NXA35EK001/p/369428,"Acer Swift 5, Intel Core i5, 16GB RAM, 512GB SSD, 14 Inch, Laptop, NX.A35EK.001",- Intel Core i5-1135G7- Intel Iris Xe Graphics- Windows 10 Home- Up to 15 hours- 1.0kg,£749.89,"<span _ngcontent-sc381="""" class=""star-ratings-text ng-star-inserted"">5.0 (1)</span>",https://www.costco.co.uk/Computers/Laptops-MacBooks/Acer-Swift-5-Intel-Core-i5-16GB-RAM-512GB-SSD-14-Inch-Laptop-NXA35EK001/p/369428
22,https://www.costco.co.uk/Computers/Laptops-MacBooks/Acer-Aspire-5-Intel-Core-i5-16GB-512GB-SSD-173-Inch-Laptop-NVIDIA-Geforce-MX450-NXAAQEK003/p/369427,"Acer Aspire 5, Intel Core i5, 16GB, 512GB SSD, 17.3 Inch, Laptop, NVIDIA Geforce MX450, NX.AAQEK.003",- Intel Core i5-1135G7 Processor- NVIDIA Geforce GTX MX450- Windows 10 Home- Up to 8 hours- 2.14kg,£749.89,"<span _ngcontent-sc381="""" class=""star-ratings-text ng-star-inserted"">3.7 (3)</span>",https://www.costco.co.uk/Computers/Laptops-MacBooks/Acer-Aspire-5-Intel-Core-i5-16GB-512GB-SSD-173-Inch-Laptop-NVIDIA-Geforce-MX450-NXAAQEK003/p/369427
23,https://www.costco.co.uk/Computers/Laptops/Acer-Swift-5-Intel-Core-i7-8GB-RAM-512GB-SSD-14-Inch-Laptop-NXA34EK001/p/344197,"Acer Swift 5, Intel Core i7, 8GB RAM, 512GB SSD, 14 Inch Laptop, NX.A34EK.001","- Intel Core i7-1165G7 Processor- Intel Iris Xe Graphics - Windows 10 Home (64 bit)- Up to 17 hours Battery life- 1 kg- 2 x Built-In Front Facing Stereo Speakers, DTS Audio, Acer Purified, Acer TrueHarmony",£749.89,"<span _ngcontent-sc381="""" class=""star-ratings-text ng-star-inserted"">5.0 (2)</span>",https://www.costco.co.uk/Computers/Laptops/Acer-Swift-5-Intel-Core-i7-8GB-RAM-512GB-SSD-14-Inch-Laptop-NXA34EK001/p/344197
24,https://www.costco.co.uk/Computers/Laptops-MacBooks/HP-Pavilion-AMD-Ryzen-7-8GB-RAM-512GB-SSD-156-Inch-Laptop-15-eh0012na/p/353426,"HP Pavilion, AMD Ryzen 7, 8GB RAM, 512GB SSD, 15.6 Inch Laptop, 15-eh0012na",- AMD Ryzen 7 4700U Processor- AMD Radeon Graphics- Windows 10 Home (64 bit)- B&O Dual Speakers with HP Audio Boost- Up to 7 hours and 45 minutes Battery Life and Fast Charge Supported- 1.75 kg,£749.89,"<span _ngcontent-sc381="""" class=""star-ratings-text ng-star-inserted"">5.0 (5)</span>",https://www.costco.co.uk/Computers/Laptops-MacBooks/HP-Pavilion-AMD-Ryzen-7-8GB-RAM-512GB-SSD-156-Inch-Laptop-15-eh0012na/p/353426
25,https://www.costco.co.uk/Computers/Laptops/Acer-Nitro-5-AMD-Ryzen-5-8GB-RAM-512GB-SSD-NVIDIA-GeForce-RTX-3060-156-Inch-Gaming-Laptop-NHQBCEK005/p/353851,"Acer Nitro 5, AMD Ryzen 5, 8GB RAM, 512GB SSD, NVIDIA GeForce RTX 3060, 15.6 Inch Gaming Laptop, NH.QBCEK.005 ","- AMD Ryzen 5 5600H Processor- NVIDIA GeForce RTX 3060, 6GB GDDR6- Windows 10 Home (64 bit)- Up to 10 hours Battery life- 2.3kg- DTS X:Ultra, Acer Purified Voice, Acer TrueHarmony",£749.89,"<span _ngcontent-sc381="""" class=""star-ratings-text ng-star-inserted"">4.7 (3)</span>",https://www.costco.co.uk/Computers/Laptops/Acer-Nitro-5-AMD-Ryzen-5-8GB-RAM-512GB-SSD-NVIDIA-GeForce-RTX-3060-156-Inch-Gaming-Laptop-NHQBCEK005/p/353851
26,https://www.costco.co.uk/Computers/Laptops-MacBooks/HP-Pavilion-x360-Intel-Core-i5-16GB-RAM-512GB-SSD-14-Inch-Convertible-Laptop-14-dy0017na/p/357021,"HP Pavilion x360, Intel Core i5, 16GB RAM, 512GB SSD, 14 Inch Convertible Laptop, 14-dy0017na",- Intel Core i5-1135G7 Processor- Intel Iris Xe Graphics- Windows 10 Home 64 bit- Up to 8 hours and 30 minutes Battery life and Fast Charge Supported- 1.56 kg- Silver colour,£749.89,"<span _ngcontent-sc381="""" class=""star-ratings-text ng-star-inserted"">5.0 (1)</span>",https://www.costco.co.uk/Computers/Laptops-MacBooks/HP-Pavilion-x360-Intel-Core-i5-16GB-RAM-512GB-SSD-14-Inch-Convertible-Laptop-14-dy0017na/p/357021
27,https://www.costco.co.uk/Computers/Laptops-MacBooks/LG-Gram-Intel-Core-i5-8GB-RAM-512GB-SSD-16-Inch-Ultra-Lightweight-Laptop-16Z90P-KAA65A1/p/379983,"LG Gram, Intel Core i5, 8GB RAM, 512GB SSD, 16 Inch Ultra-Lightweight Laptop, 16Z90P-K.AA65A1","- Intel Core i5-1135G7 Processor- Intel Iris Xe Graphics - Windows 11 Home (64 bit)- 2 x 2W Speakers, DTS:X Ultra, Dual Mic- Up to 22 Hours Battery Life- 1.19 kg- Find out more with the LG gram Buying Guide",£739.99,,https://www.costco.co.uk/Computers/Laptops-MacBooks/LG-Gram-Intel-Core-i5-8GB-RAM-512GB-SSD-16-Inch-Ultra-Lightweight-Laptop-16Z90P-KAA65A1/p/379983
28,https://www.costco.co.uk/Computers/Laptops-MacBooks/ASUS-VivoBook-Intel-Core-i5-16GB-RAM-512GB-SSD-156-Inch-OLED-Laptop-K513EA-L11068T/p/391003,"ASUS VivoBook, Intel Core i5, 16GB RAM, 512GB SSD, 15.6 Inch OLED Laptop, K513EA-L11068T","- Intel® Core™ i5-1135G7 Processor- Intel Iris X Graphics- 15.6"" Full HD OLED Display- Windows 10 Home- Audio by ICEpower,Built-in Speakers,Harman Kardon- 1.8 kg",£729.99,"<span _ngcontent-sc381="""" class=""star-ratings-text ng-star-inserted"">4.0 (1)</span>",https://www.costco.co.uk/Computers/Laptops-MacBooks/ASUS-VivoBook-Intel-Core-i5-16GB-RAM-512GB-SSD-156-Inch-OLED-Laptop-K513EA-L11068T/p/391003
29,https://www.costco.co.uk/Computers/Laptops-MacBooks/Acer-Aspire-7-AMD-Ryzen-5-16GB-RAM-512GB-SSD-NVIDIA-GeForce-RTX-3050-Ti-156-Inch-Gaming-Laptop-NHQDLEK002/p/369430,"Acer Aspire 7, AMD Ryzen 5, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 3050 Ti, 15.6 Inch Gaming Laptop, , NH.QDLEK.002","- AMD Ryzen 5-5500U Processor- NVIDIA Geforce RTX 3050 Ti Graphics- Full HD 1920 x 1080, 144 Hz Display- Windows 10 Home- Up to 10 hours- 2.15kg",£699.99,,https://www.costco.co.uk/Computers/Laptops-MacBooks/Acer-Aspire-7-AMD-Ryzen-5-16GB-RAM-512GB-SSD-NVIDIA-GeForce-RTX-3050-Ti-156-Inch-Gaming-Laptop-NHQDLEK002/p/369430
